citation_key,authors,year,study_design,mapping_type,onet_code,onet_label,log_ratio,log_ratio_variance,percent_change_equivalent,n_human,n_ai,computation_method,confidence,notes
brynjolfsson_2024_generative_ai,Erik Brynjolfsson; Danielle Li; Lindsey Raymond,2024,natural_experiment,occupation,43-4051.00,Customer Service Representatives,0.0888312137066157,,0.09289617486338786,,,reported_pct_change_no_ci,low,"The primary statistic reports a 3.7 minute decrease in average handle time, representing an 8.5% decline from the baseline mean of 43 minutes. Since this is a time-based outcome (minutes), smaller values are better. The paper explicitly states 'shorter handle times are considered better.' The reported_percent_change is -0.085 (negative because the outcome decreased). Only the control baseline mean is provided; the AI-assisted mean is not directly reported but can be inferred as 43 - 3.7 = 39.3 minutes. Sample sizes (n) are not provided in the arms data. Multiple subgroup analyses are reported for different problem types and adherence levels, but the main effect (first row) is used as the primary statistic. | CI missing; variance not computable"
zhang_2024_generative_equilibrium,Kaichen Zhang; Zixuan Yuan; Hui Xiong,2024,natural_experiment,work_activity,WA-13,Thinking Creatively,0.7929925155296614,,1.21,,,reported_pct_change_no_ci,low,"This is a difference-in-differences natural experiment studying the effect of NovelAI's generative AI leak on the tachie (character art) market vs. wallpaper market. The regression coefficient represents the DiD estimator (treated×after interaction) in levels (orders per week), not log-transformed. The paper reports both the absolute effect (140 orders/week increase) and relative effect (121% increase). Without a baseline mean for the pre-treatment tachie market, we cannot directly convert the level-regression coefficient to a log ratio. The extremely small SE (4.9×10^-13) suggests possible numerical precision issues in the reported table. Sample sizes (n) are not provided for the category-week panel data structure. | CI missing; variance not computable"
nakavachara_2024_chatgpt_productivity,Voraprapa Nakavachara; Tanapong Potipiti; Thanee Chaiwat,2024,within_subject,work_activity,WA-14,Processing Information,0.09447675960815248,0.00031774419263476406,0.0990836197021765,121,121,means_and_sds,high,"Table 3 Panel B provides the complete statistics for time spent on writing analysis tasks. Without ChatGPT: Mean=19.19 minutes, SD=1.62, Min=9.00, Max=20.00. With ChatGPT: Mean=17.46 minutes, SD=3.09, Min=7.00, Max=20.00. N=121 for both conditions (within-subject design). Table 4 Panel A confirms the time difference: 'Time Diff = No ChatGPT - With ChatGPT' has Mean=1.73, SD=3.43. The mean difference of -1.73 minutes (M_ai - M_human = 17.46 - 19.19) indicates participants completed tasks faster with ChatGPT. Time is the outcome, so smaller is better."
quispe_2024_chatgpt_software,Alexander Quispe; Rodrigo Grijalba,2024,natural_experiment,work_activity,WA-25,Working with Computers,0.7942445423083856,0.008069955652906968,1.2127687120701283,27,120,regression_coef_level_with_baseline,medium,"Primary outcome is 'Num Pushes per 100k' (git pushes per 100,000 people). Table 6.1 Panel A reports DID coefficient of 899.268*** (SE=147.395) with baseline mean of 741.5. This is a level-transformed outcome (not log), so the coefficient represents the absolute increase in pushes per 100k. The baseline mean is explicitly stated as 'Baseline Mean Outcome 741.5'. The outcome is a throughput measure (more pushes = more productivity), so larger_is_better. Sample sizes: N0=27 control units, N1=120 treatment units across 13 time periods (11 pre-treatment, 2 post-treatment), total observations=2352. SC and SDID methods also reported but DID is most straightforward for extraction."
bono_2024_security_copilot,James Bono; Alec Xu,2024,rct,work_activity,WA-10,Making Decisions and Solving Problems,0.19525776740136555,,0.21562429442312037,90,91,means_only_no_variance,low,"Primary overall comparison extracted. The study reports means for both arms (control: 53.84 min, copilot: 44.29 min) and a 29.79% reduction in task completion time. Since time is smaller-is-better, the reduction is coded as -0.2979. Multiple sub-analyses by scenario and task type are also reported in the statistics, but the overall comparison is used for the primary extraction. No SDs or SEs are reported, only means. | SDs/SEs missing; variance not computable"
fitzpatrick_2025_generative_ai_public,Trevor Fitzpatrick; Seamus Kelly; Patrick Carey; David Walsh; Ruairi Nugent,2025,rct,work_activity,WA-01,Analyzing Data or Information,0.4155154439616658,,0.5151515151515151,,,means_only_no_variance,low,"Sample sizes (n) are not reported in the arms data. The paper reports a 34% improvement in time to completion, which for a time-based outcome (smaller is better) represents a reduction, hence -0.34. Mean times are clearly stated: 33 minutes (AI) vs 50 minutes (control). Standard deviations are not reported. | SDs/SEs missing; variance not computable"
wang_2025_ai_writing_guidance,Fangyan Wang; Sai Liang; Zaiyan Wei,2025,natural_experiment,work_activity,WA-30,Documenting/Recording Information,0.04688358589885046,,0.04800000000000004,,,reported_pct_change_no_ci,low,"This is a difference-in-differences natural experiment studying Yelp's AI writing guidance introduction. The outcome (review length in characters) is a throughput/productivity measure where larger is better. The regression uses log(Lengths) as the dependent variable, so the coefficient 0.048 directly represents the log ratio. The paper reports this as '4.8% longer' which matches the coefficient. Additional heterogeneous effects are reported for less experienced users (coef=0.046, SE=0.004) and experienced users (coef=0.028, SE=0.005), but the primary overall effect is used here. Sample sizes are not reported in the arms data. | CI missing; variance not computable"
xue_2025_generative_analysts,Jian Xue; Qian Zhang; Wu Zhu,2025,natural_experiment,occupation,13-2051.00,Financial and Investment Analysts,0.297,,0.34581529944809763,41991,41991,regression_coef_log_outcome_no_se,low,"The paper reports timeliness as log of leader ratio. Table 7 Panel C shows FactSet×Post coefficient of 0.297** (t=2.11) for Timeliness. The outcome is already log-transformed, so this coefficient represents the log ratio effect directly. The control SD is 1.38 (from Table 1). Sample size n=41991 is from Table 7 Panel C observations row. The paper states this represents '0.22 standard deviations (= 0.297/1.380)' improvement. Since the outcome is a log ratio, the regression coefficient IS the log effect. No SE is explicitly reported in parentheses for this coefficient, but the t-statistic is 2.11, which allows variance calculation if needed downstream."
merali_2025_scaling_laws,Ali Merali,2025,rct,work_activity,WA-01,Analyzing Data or Information,0.08338160893905101,,0.08695652173913038,,,reported_pct_change_no_ci,low,"The paper reports effects per year of model progress (8% reduction overall, 10.7% for non-agentic, 4.8% for agentic) and per tenfold increase in training compute (6% reduction, coefficient -0.0608). These are scaling relationships rather than direct AI vs. control comparisons. The primary statistic extracted is the overall 8% reduction per year of model progress (p≈0.04). The regression coefficient of -0.0608 for the compute scaling is also provided, but without a standard error (SE not reported in the verbatim quote). Sample sizes (n) are not provided in the arms data. It is unclear whether the outcome was log-transformed in the regression; the coefficient -0.0608 corresponds to ~6% reduction, suggesting possible log transformation, but this is not explicitly stated. The reported_percent_change reflects the 8% reduction per year as -0.08. | CI missing; variance not computable"
kikuchi_2026_innovation_tax,Tatsuru Kikuchi,2026,natural_experiment,work_activity,WA-01,Analyzing Data or Information,-0.5040678035464089,0.018434099329080595,-0.3959315765141008,85,41,regression_coef_level_with_baseline,medium,"The paper uses SDID (Synthetic Difference-in-Differences) to estimate causal effects. Table 6 reports the Average Treatment Effect on the Treated (ATT) for ROE as -4.282*** (SE=0.887) percentage points. This is the causal effect of AI adoption on Return on Equity. The outcome is in levels (percentage points), not log-transformed. Table 3 provides the baseline mean ROE of 10.815% across the full sample. The sample sizes come from the notes to Table 6: 10 treated banks and 36 control banks in the full sample analysis. However, the paper states the estimation sample includes 126 banks total with 41 AI adopters and 85 controls (page 23). Using the larger sample counts as they represent the full analytical sample. The negative ATT indicates AI adoption causes ROE to decline by 428 basis points during the implementation phase (the 'Implementation Tax'). This is a productivity measure where larger ROE values are better, so the negative effect indicates worse performance."
