paper_id,stage_failed,reason
 ba,02_method_classification,study_design=other (This is a technical report synthesizing findings from eight separate studies with heterogeneous designs including 'rando)
2004.13332v1,05_speed,"This paper fundamentally does not fit the SPEED framework. It is a study of AI-designed economic policies (tax schedules learned via reinforcement learning) compared to baseline tax policies, not a study of human worker productivity with versus without AI assistance. The 'AI' in 'AI Economist' refers to the mechanism that designed the tax policy, not a tool that assists human workers in performing tasks. The comparisons are between policy mechanisms (AI Economist vs. free market vs. US federal vs. Saez formula), not between human workers performing tasks with vs. without AI assistance. In the AI experiments, AI agents play an economic simulation game under different tax policies. In the human experiments, human participants play the same game under different tax policies. In both cases, the outcome (productivity = coins produced) is a measure of the tax policy's effect on economic outcomes, not a measure of human worker productivity with/without AI assistance. There is no human-only baseline arm in the sense required for SPEED. The 'free market' arm is a no-tax policy baseline, not a human-only work condition. The paper reports means for productivity under each tax policy (Figure 8: AI experiments - Free Market 3285, US Federal 2656, Saez 2907, AI Economist 2907; Figure 17: human experiments - Free Market 2605, US Federal 1658, Saez 1658, AI Economist 2339), but these are outcomes of the tax policies themselves, not measures of human worker productivity with/without AI assistance. Sample sizes are reported as number of episodes or participants across all conditions (Section 5.2: 'first batch consisted of 57 episodes with 58 participants', 'second batch consisted of 68 episodes with 57 participants'), not per-arm in a way that allows extraction for a human vs. human+AI comparison. The paper does report that the AI Economist achieves 16% improvement in equality-productivity trade-off over Saez (page 20: 'The AI Economist achieves a 16% gain improvement over the next best model, which is the Saez model'), but this is a composite metric (equality × productivity) comparing policy outcomes, not a human productivity comparison. No standard deviations, standard errors, t-statistics, or regression coefficients comparing human-only vs. human+AI productivity are reported in a way that fits the SPEED framework. The paper does report statistical tests for the human experiments (Section 5.2: 'two-sided t-test for the alternate hypothesis Ya;vw ≠ 0, with p = 0.05'), but these compare tax policy regimes, not human+AI vs. human-only productivity. After exhaustive re-reading, I confirm that this paper does not contain the data needed to compute a SPEED effect size. | arm pair unresolvable"
2108.02755v1,02_method_classification,"study_design=other (This is a computational simulation study with AI agents in synthetic economies, not a study involving human participants)"
2401.09718v3,02_method_classification,"study_design=other (No study design description or population description was provided in the input, making it impossible to classify the re)"
2403.16159v2,02_method_classification,"study_design=other (This is a mixed-method qualitative study with no comparison between AI vs. no-AI conditions. While students were ""random)"
2405.04692v1,02_method_classification,study_design=other (This is a case study applying AI and NLP techniques to analyze user feedback on three crane products. There is no experi)
2405.15929,02_method_classification,study_design=other (The study combines multiple methodological approaches: a generative adversarial network framework applied to observation)
2406.11046v1,05_quality,"This is a country-level quasi-experimental study using DID, SC, and SDID methods. The paper reports treatment effects (ATEs) directly rather than raw means/SDs. For Panel A (Num Pushes per 100k), DID coefficient = 899.268*** (SE=147.395), SC = 595.059 (SE=437.061), SDID = 645.623*** (SE=146.445). Baseline mean = 741.5. The reported coefficients are regression-based treatment effects, not standardized effect sizes. Sample sizes are n_control=27 countries, n_treatment=120 countries, with 11 pre-treatment periods and 2 post-treatment periods (total observations=2352). Without raw means and SDs for the treatment and control groups in the post-treatment period, or a reported standardized effect size, we cannot compute Hedges' g. The paper uses panel data methods that account for time trends, making simple mean comparisons inappropriate. The study design is fundamentally different from a standard RCT - it's a difference-in-differences analysis at the country-quarter level. | insufficient numbers for d"
2407.17866v1,02_method_classification,"study_design=other (This study involves passing financial statements to large language models to predict earnings direction, with no human p)"
2411.01067v2,05_quality,"After thorough re-read of the entire paper, no additional statistical information was found beyond what was previously extracted. The paper reports only means and percentage improvements for the primary outcome (accuracy_all_content). No standard deviations, standard errors, t-statistics, F-statistics, or standardized effect sizes (Cohen's d or Hedges' g) are provided anywhere in the document for the overall accuracy comparison. P-values are consistently reported only as inequalities (p < .001, indicated by *** notation) rather than exact values. Table 2 on page 6 shows the means (Treatment: 6.97, Control: 5.18) but no SDs or SEs. The methodology section describes the experimental design and grading but does not report dispersion statistics. The results section (pages 5-6) focuses on percentage improvements and significance levels but never provides the underlying variance measures needed for effect size calculation. This remains a Level F extraction (means + n + p-value inequality only), which is insufficient for computing a reliable Hedges' g. The paper appears to have been designed to report percentage improvements rather than standardized effect sizes. | arm pair unresolvable"
