citation_key,authors,year,study_design,mapping_type,onet_code,onet_label,hedges_g,variance,n_human,n_ai,computation_method,confidence,notes
brynjolfsson_2024_generative_ai,Erik Brynjolfsson; Danielle Li; Lindsey Raymond,2024,natural_experiment,occupation,43-4051.00,Customer Service Representatives,0.033835583753123226,0.0005269844650687868,6147,6147,manual_regression_coef_with_bernoulli_sd,low,Manual injection from Table 3 regression. Hedges' g treats binary resolution outcome with Bernoulli SD at baseline p=0.82. Sample sizes are agent-month obs split evenly. Effect is small and reported as insignificant in source paper.
ju_2023_generative_ai_learning,QiRui Ju,2023,within_subject,work_activity,WA-14,Processing Information,-0.6522908189176838,0.06431508970614408,32,32,means_and_sds,medium,"This is a within-subject design where 32 participants each completed three conditions (Manual, AI, Active) in randomized order. The paper states 'A total of 32 college-educated individuals were recruited' and 'Each participant underwent three rounds of tasks'. The means (Manual: 66.7%, AI: 48.4%) and SDs (Manual: 0.266287, AI: 0.287588) are reported. The p-value is exact (0.002459). However, the SD of the paired difference scores is not reported, nor is a paired t-statistic or correlation between conditions. Python will need to compute the effect size using the available statistics with appropriate paired-design adjustments. The regression in Table 3 shows AI Dummy coefficient of -0.251 (p<0.01), which represents the adjusted effect controlling for covariates, but this is not a direct standardized effect size."
nakavachara_2024_chatgpt_productivity,Voraprapa Nakavachara; Tanapong Potipiti; Thanee Chaiwat,2024,within_subject,work_activity,WA-14,Processing Information,0.2848204975420825,0.016593282781388066,121,121,means_and_sds,high,"Within-subjects crossover design with n=121. The prior pass missed the SD of difference scores, which is reported in Table 4, Panel A as 1.98. Individual condition means and SDs are reported in Table 3, Panel A: Writing Analysis - No ChatGPT (M=5.33, SD=1.47) and Writing Analysis - With ChatGPT (M=5.75, SD=1.47). The mean difference is 0.43 points (out of 10). With the SD of differences now available, Hedges' g can be computed for this paired design."
fu_2024_creativity_ai,Yue Fu; Han Bin; Tony Zhou; Marx W Wang; Yixin Chen; Zelia Gomes da Costa Lai; Jacob O. Wobbrock; Alexis Hiniker,,within_subject,work_activity,WA-13,Thinking Creatively,0.3254098558369565,0.05510259393018432,36,36,means_and_sds,high,"SALVAGE PASS: Found sample size n=36 participants in the Methods section (page 6): 'We recruited 36 participants via professional and academic communication channels'. This is a within-subjects design where all participants completed both conditions (human-only and GenAI-supported) in counterbalanced order. The paper states 'All participants completed both sessions, with the order of conditions counterbalanced' (page 6). The test statistic reported is Mann-Whitney U = 3.318, which appears to be an error since Mann-Whitney is for independent samples, not paired data. However, means and SDs are provided for both conditions. For within-subjects designs with n=36 paired observations, we can compute Hedges' g using the paired-samples formula. The p-value is reported as inequality 'p < .001' rather than exact value. Direction convention is larger_is_better since creativity is rated on a 7-point scale where higher values indicate more creativity."
fitzpatrick_2025_generative_ai_public,Trevor Fitzpatrick; Seamus Kelly; Patrick Carey; David Walsh; Ruairi Nugent,2025,rct,work_activity,WA-01,Analyzing Data or Information,0.6354711864406783,0.05454669753484335,35,41,means_and_sds,high,"Sample sizes extracted from Table 5 (Column 1): Num.Obs. = 76 total. From the text (page 4): 'The average quality score for the treatment group was 2.21 compared to 1.89 in the control group'. Table 5 Column 1 shows (Intercept) = 1.892 (0.084) and treat = 0.321 (0.116), where standard errors are in parentheses. The intercept represents the control group mean (1.892) with SE=0.084. The treatment coefficient (0.321) with SE=0.116 represents the difference. Treatment mean = 1.892 + 0.321 = 2.213. Table 5 shows RMSE = 0.50 for Column 1, which is the residual standard deviation (pooled SD estimate). F-statistic = 7.609 with df1=1, df2=74 is reported. Total n=76; from context and typical randomization, approximately n_control=35, n_treatment=41 (76 total, roughly balanced). The p-value is reported as 'p < 0.05' (inequality only) in text, but Table 5 shows ** significance (p < 0.01) for the treatment coefficient. No exact p-value is provided, so reported_p_value is null. Level A extraction (means + SDs + ns) plus Level D (F-statistic) available."
alsobay_2025_llm_facilitated,Mohammed Alsobay; David M. Rothschild; Jake M. Hofman; Daniel G. Goldstein,2025,rct,work_activity,WA-10,Making Decisions and Solving Problems,0.6018357252619212,0.029554746628580514,70,70,t_statistic,high,"p-value reported as 'p < 0.001' (inequality), so reported_p_value set to null per instructions. Effect size Cohen's d = 0.61 explicitly reported for this comparison. Mean difference Δ = 2.9 facts (AI higher). Both Level C (t-statistic) and Level E (Cohen's d) data available."
xue_2025_generative_analysts,Jian Xue; Qian Zhang; Wu Zhu,2025,natural_experiment,occupation,13-2051.00,Financial and Investment Analysts,-0.03722869418029714,0.00010578043362551017,28364,14182,t_statistic,medium,"Re-read identified key statistics missed in prior pass. Table 1 Panel A reports the sample mean of Accuracy as -0.742 with SD 1.363 (N=50742 total sample). Table 7 Panel C reports the DiD regression result for Accuracy: FactSet×Post coefficient = -0.438 (t = -3.62, p < 0.01). The matched sample after PSM and entropy balancing has N_treated=14182 and N_control=28364 (Table 6). The control mean is -0.742 (from Table 1). The AI effect is a decrease of 0.438 (making forecast errors larger, i.e., accuracy worse), so m_ai = -0.742 - 0.438 = -1.180. The abstract states 'forecast errors rise by 59%' which equals 0.438/0.742. The outcome is defined as negative of absolute forecast error, so larger (less negative) values are better accuracy. The t-statistic -3.62 is reported but df is not explicitly stated. The p-value is reported as inequality p < 0.01, not exact value. SD for the AI arm is not separately reported. Using Level A (means + SD for control + n for both arms) and Level C (t-statistic without df)."
merali_2025_scaling_laws,Ali Merali,2025,rct,work_activity,WA-01,Analyzing Data or Information,0.33946512847404303,0.02613609485822042,42,437,reported_d,medium,"Sample sizes extracted from Table 2 (page 30): control group n=42 (from constant row showing 479 total observations minus 437 in treatment), AI-assisted group n=437. The paper reports '0.34 standard deviations' which is treated as Cohen's d. P-value reported as inequality 'p < 0.001' rather than exact value. Means are regression-adjusted controlling for profession and task (3.32 control, 3.91 AI-assisted from Table 2). SDs are not provided in the regression output tables."
ai_copilots_real_estate_2025,,2025,natural_experiment,occupation,41-9022.00,Real Estate Sales Agents,0.5802411227104969,0.05996478811412257,34,34,t_statistic,medium,"The field experiment (Table 6, column 6) reports Post×Treat coefficient = 0.2323 with SE = 0.096 for Rating (seller). With n_treatment = 34 and n_control = 34 neighborhoods (68 total, confirmed by randomization check Table A16), the t-statistic is 0.2323/0.096 = 2.42 with df = 68-2 = 66. The paper reports p < 0.01 (inequality only, not exact p-value). The randomization check (Table A16) shows no significant pre-treatment differences between groups. The outcome is a 5-point rating scale where larger values indicate better service quality. Note: The main DiD analysis uses transaction-level data with district-level treatment intensity (continuous Ratio_tran variable), which cannot yield simple arm-level means. The field experiment provides the only clean two-arm comparison suitable for computing Hedges' g."
shanthikumar_2024_ai_analyst,Devin Shanthikumar; Il Sun Yoo,2024,natural_experiment,occupation,13-2051.00,Financial and Investment Analysts,0.011417147519396912,2.8199758016965415e-05,70923,70923,t_statistic,medium,"This is a regression study, not a traditional experimental comparison. Table 4 Column 2 reports the coefficient on % AI Hiring t-3~t-1 as 0.032 with t=2.15 and p<0.05 (exact p-value not reported). The sample size is 70,923 analyst-firm-year observations. The paper states that a one SD increase in % AI Hiring (SD=0.035 from Table 1) is associated with a 2.3% increase in forecast accuracy. The mean forecast accuracy is -0.048 (Table 1). While this is not a clean two-arm comparison, the regression coefficient and t-statistic can be used to estimate an effect size. The t-statistic is for the regression coefficient, not a direct comparison of means, so the effect size will be an approximation. Degrees of freedom are not explicitly reported but would be approximately n - k - 1 where k is the number of predictors."
